Name,Voltage,Capacity,Energy,Thickness,Width,Length,Impedance,Tab Width,Tab Distance,Current,Weight,Note,Power,cap/gram,wh/gram,Duration
HCP253035,3.7,150,555,2.5,30.5,35.5,200,2,17,18.5,4,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",68.45,37.5,138.75,3.7
HCP283035,3.7,150,555,2.8,30.5,36,200,2,17,18.5,4,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",68.45,37.5,138.75,3.7
HCP451245,3.7,200,740,4.7,12.5,45.5,140,3,5,26.42857143,4,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",97.78571429,50,185,4.933333333
?402030,3.7,190,703,4,20,30,,,,#DIV/0!,4,,#DIV/0!,47.5,175.75,4.686666667
?302236,3.7,170,629,3,22,36,,,,#DIV/0!,4.1,,#DIV/0!,41.46341463,153.4146341,4.193333333
HCP801818,3.7,170,629,8.2,18,19,160,3,8,23.125,4.2,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",85.5625,40.47619048,149.7619048,4.193333333
?302730,3.7,170,629,3,27,30,,,,#DIV/0!,4.2,,#DIV/0!,40.47619048,149.7619048,4.193333333
?601235,3.7,170,629,6,12,35,,,,#DIV/0!,4.2,,#DIV/0!,40.47619048,149.7619048,4.193333333
HCP751723,3.7,180,666,7.5,17,23,80,3,7,46.25,4.4,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",171.125,40.90909091,151.3636364,4.44
HCP491735,3.7,260,962,4.9,17.5,35.5,150,3,7,24.66666667,4.45,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",91.26666667,58.42696629,216.1797753,6.413333333
HCP502030,3.7,250,925,5,20.5,30.5,100,3,9,37,4.5,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",136.9,55.55555556,205.5555556,6.166666667
?452030,3.7,210,777,4.5,20,30,,,,#DIV/0!,4.5,,#DIV/0!,46.66666667,172.6666667,5.18
LIR2430-100,3.7,100,370,,,,,,,#DIV/0!,4.5,,#DIV/0!,22.22222222,82.22222222,2.466666667
HCP551730,3.7,250,925,5.7,17.5,30.5,150,3,5,24.66666667,4.56,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",91.26666667,54.8245614,202.8508772,6.166666667
HCP402827,3.7,250,925,3.8,28.3,27,120,2,17,30.83333333,4.59,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",114.0833333,54.46623094,201.5250545,6.166666667
LTC-3PN,3.5,350,1225,,,,,,,1,4.6,,3.5,76.08695652,266.3043478,8.166666667
HCP352328,3.7,180,666,3.5,23.5,28.5,150,2,13.5,24.66666667,4.6,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",91.26666667,39.13043478,144.7826087,4.44
HCP402035,3.7,240,888,4.2,20.5,35.5,140,3,9,26.42857143,4.6,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",97.78571429,52.17391304,193.0434783,5.92
HCP502028,3.7,220,814,5.2,20.5,29,130,3,7,28.46153846,4.64,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",105.3076923,47.4137931,175.4310345,5.426666667
HCP382730,3.7,270,999,3.8,27.5,30.5,150,3,17,24.66666667,4.7,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",91.26666667,57.44680851,212.5531915,6.66
HCP701429,3.7,220,814,7.3,14.5,29.8,150,3,7,24.66666667,4.7,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",91.26666667,46.80851064,173.1914894,5.426666667
HCP552027,3.7,250,925,5.5,20.5,27.5,140,2,9,26.42857143,4.7,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",97.78571429,53.19148936,196.8085106,6.166666667
HCP452625,3.7,320,1184,4.5,26.5,25,110,3,14.3,33.63636364,4.7,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",124.4545455,68.08510638,251.9148936,7.893333333
?382035,3.7,210,777,3.8,20,35,,,,#DIV/0!,4.8,,#DIV/0!,43.75,161.875,5.18
HCP441547,3.7,270,999,4.4,15.5,47.5,140,3,6,26.42857143,4.81,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",97.78571429,56.13305613,207.6923077,6.66
HCP602025,3.7,240,888,6.2,20.5,25.5,130,3,7.5,28.46153846,4.9,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",105.3076923,48.97959184,181.2244898,5.92
HCP722022,3.7,250,925,7.2,20.5,22.5,120,2,6,30.83333333,4.9,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",114.0833333,51.02040816,188.7755102,6.166666667
?402035,3.7,230,851,4,20,35,,,,#DIV/0!,4.9,,#DIV/0!,46.93877551,173.6734694,5.673333333
BR2450,3,550,1650,,,,,,,0.03,5,Lithium Poly-Carbon Monofluoride,0.09,110,330,11
BL-4PN,3.6,400,1440,,,,,,,5,5,,18,80,288,9.6
4037,3.67,480,1761.6,,,,,,,10,5,,36.7,96,352.32,11.744
HCP722023,3.7,265,980.5,7.2,20.5,23.5,140,2,9,26.42857143,5,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",97.78571429,53,196.1,6.536666667
?362730,3.7,245,906.5,3.6,27,30,,,,#DIV/0!,5,,#DIV/0!,49,181.3,6.043333333
?482030,3.7,230,851,4.8,20,30,,,,#DIV/0!,5,,#DIV/0!,46,170.2,5.673333333
HCP252844,3.7,250,925,2.7,28.5,44.5,150,3,19,24.66666667,5.04,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",91.26666667,49.6031746,183.531746,6.166666667
HCP101722,3.7,270,999,10,17.5,22.5,130,2,7,28.46153846,5.1,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",105.3076923,52.94117647,195.8823529,6.66
?502527,3.7,250,925,5,24,26.8,,,,#DIV/0!,5.1,,#DIV/0!,49.01960784,181.372549,6.166666667
HCP431165,3.7,250,925,4.5,11.2,65.5,120,3,20,30.83333333,5.15,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",114.0833333,48.54368932,179.6116505,6.166666667
HCP303035,3.7,280,1036,3.2,30.5,35.5,120,3,17,30.83333333,5.2,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",114.0833333,53.84615385,199.2307692,6.906666667
HCP552030,3.7,280,1036,5.5,20.5,30.5,120,3,7.5,30.83333333,5.2,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",114.0833333,53.84615385,199.2307692,6.906666667
?502030,3.7,240,888,5,20,30,,,,#DIV/0!,5.3,,#DIV/0!,45.28301887,167.5471698,5.92
HCP432730,3.7,280,1036,4.3,27.5,30.5,130,2,16.5,28.46153846,5.4,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",105.3076923,51.85185185,191.8518519,6.906666667
HCP582030,3.7,300,1110,5.8,20.3,30.5,120,3,8.5,30.83333333,5.4,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",114.0833333,55.55555556,205.5555556,7.4
HCP602030,3.7,300,1110,6,20.5,30.5,90,3,7.5,41.11111111,5.4,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",152.1111111,55.55555556,205.5555556,7.4
?382730,3.7,260,962,3.8,27,30,,,,#DIV/0!,5.4,,#DIV/0!,48.14814815,178.1481481,6.413333333
?601245,3.7,250,925,6,12,45,,,,#DIV/0!,5.4,,#DIV/0!,46.2962963,171.2962963,6.166666667
HCP602323,3.7,250,925,6,23.5,23.5,120,2,12,30.83333333,5.5,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",114.0833333,45.45454545,168.1818182,6.166666667
HCP203040,3.7,210,777,2.5,36,40.5,100,3,20,37,5.5,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",136.9,38.18181818,141.2727273,5.18
HCP552724,3.7,340,1258,5.5,27,24,100,3,14.2,37,5.56,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",136.9,61.15107914,226.2589928,8.386666667
?401745,3.7,250,925,4,17,45,,,,#DIV/0!,5.6,,#DIV/0!,44.64285714,165.1785714,6.166666667
HCP702025,3.7,280,1036,7.2,20.5,25.5,140,3,7,26.42857143,5.65,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",97.78571429,49.55752212,183.3628319,6.906666667
HCP302938,3.7,300,1110,3,29.5,38.5,130,3,17,28.46153846,5.7,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",105.3076923,52.63157895,194.7368421,7.4
HCP502530,3.7,300,1110,5,25.5,30.5,100,2,12,37,5.8,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",136.9,51.72413793,191.3793103,7.4
?302248,3.7,240,888,3,22,48,,,,48,5.8,,177.6,41.37931034,153.1034483,5.92
HCP701245,3.7,300,1110,6.6,12.5,45.5,130,3,5,28.46153846,5.86,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",105.3076923,51.19453925,189.4197952,7.4
?582030,3.7,300,1110,5.8,20,30,,,,#DIV/0!,5.9,,#DIV/0!,50.84745763,188.1355932,7.4
HCP101821,3.7,270,999,10,18.5,21.5,150,2,11.1,24.66666667,6,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",91.26666667,45,166.5,6.66
?471745,3.7,300,1110,4.7,17,45,,,,#DIV/0!,6,,#DIV/0!,50,185,7.4
?602030,3.7,280,1036,6,20,30,,,,#DIV/0!,6,,#DIV/0!,46.66666667,172.6666667,6.906666667
HCP1524122,3.7,180,666,1.3,23.8,120,150,3,10.5,24.66666667,6.01,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",91.26666667,29.95008319,110.8153078,4.44
HCP452634,3.7,380,1406,4.7,25.6,34,85,3,14.5,43.52941176,6.1,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",161.0588235,62.29508197,230.4918033,9.373333333
?502035,3.7,300,1110,5,20,35,,,,#DIV/0!,6.1,,#DIV/0!,49.18032787,181.9672131,7.4
?382239,3.7,275,1017.5,3.9,21.5,38,,,,#DIV/0!,6.1,,#DIV/0!,45.08196721,166.8032787,6.783333333
HCP752323,3.7,340,1258,7.5,23.5,23.5,140,2,13.5,26.42857143,6.2,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",97.78571429,54.83870968,202.9032258,8.386666667
HCP502040,3.7,370,1369,5,20.5,40,120,3,8,30.83333333,6.2,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",114.0833333,59.67741935,220.8064516,9.126666667
HCP552133,3.7,330,1221,5.5,21.5,34,100,2,9,37,6.2,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",136.9,53.22580645,196.9354839,8.14
HCP622425,3.7,320,1184,6.1,24.5,26.7,110,3,12,33.63636364,6.23,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",124.4545455,51.36436597,190.0481541,7.893333333
HCP602428,3.7,400,1480,6,24.5,28.5,180,2,14.7,20.55555556,6.3,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",76.05555556,63.49206349,234.9206349,9.866666667
HCP401471,3.7,360,1332,4,14.5,71.5,120,2,6.5,30.83333333,6.47,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",114.0833333,55.64142195,205.8732612,8.88
?452533,3.7,300,1110,4.4,24.5,33.3,,,,#DIV/0!,6.6,,#DIV/0!,45.45454545,168.1818182,7.4
?501745,3.7,320,1184,5,17,45,,,,#DIV/0!,6.7,,#DIV/0!,47.76119403,176.7164179,7.893333333
HCP702525,3.7,330,1221,7,25.5,25.5,130,2,15.3,28.46153846,6.8,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",105.3076923,48.52941176,179.5588235,8.14
?582035,3.7,340,1258,5.8,19.2,34.5,,,,#DIV/0!,6.8,,#DIV/0!,50,185,8.386666667
PP355,1.4,1800,2520,,,,,,,,6.8,,0,264.7058824,370.5882353,16.8
?402933,3.7,320,1184,4,29,33,,,,64,6.9,,236.8,46.37681159,171.5942029,7.893333333
HCP342946,3.7,450,1665,3.4,28,46,90,3,16.5,41.11111111,6.93,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",152.1111111,64.93506494,240.2597403,11.1
HCP503030,3.7,400,1480,5,30.5,30.5,100,3,17,37,6.98,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",136.9,57.30659026,212.034384,9.866666667
HCP402447,3.7,445,1646.5,4,24.5,47.5,100,2,14.7,37,7,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",136.9,63.57142857,235.2142857,10.97666667
HCP552730,3.7,400,1480,5.5,27.8,30.5,90,3,13,41.11111111,7,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",152.1111111,57.14285714,211.4285714,9.866666667
HCP352065,3.7,400,1480,3.5,20.5,65.5,60,3,9,61.66666667,7,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",228.1666667,57.14285714,211.4285714,9.866666667
?601445,3.7,300,1110,6,14,45,,,,#DIV/0!,7,,#DIV/0!,42.85714286,158.5714286,7.4
HCP502734,3.7,420,1554,5,27.5,34.5,100,2,16.5,37,7.1,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",136.9,59.15492958,218.8732394,10.36
HCP283448,3.7,470,1739,2.8,34.8,48.5,90,2,23,41.11111111,7.1,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",152.1111111,66.1971831,244.9295775,11.59333333
HCP552535,3.7,430,1591,5.4,25.5,34.5,90,3,12,41.11111111,7.1,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",152.1111111,60.56338028,224.084507,10.60666667
HCP353046,3.7,550,2035,3.5,30.5,46.5,55,3,19,67.27272727,7.25,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",248.9090909,75.86206897,280.6896552,13.56666667
?482239,3.7,350,1295,4.7,21,39,,,,#DIV/0!,7.3,,#DIV/0!,47.94520548,177.3972603,8.633333333
HCP551752,3.7,450,1665,5.5,17.5,52.5,100,3,5,37,7.5,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",136.9,60,222,11.1
HCP602040,3.7,420,1554,6,20.5,40.5,70,3,7.5,52.85714286,7.5,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",195.5714286,56,207.2,10.36
LIR2477,3.7,200,740,,,,,,,#DIV/0!,7.5,,#DIV/0!,26.66666667,98.66666667,4.933333333
?451753,3.7,350,1295,4.5,16.5,52.5,,,,#DIV/0!,7.6,,#DIV/0!,46.05263158,170.3947368,8.633333333
HCP602533,3.7,450,1665,6,25.5,33.5,80,3,11,46.25,7.69,"IEC62133,PSE,KC,CE,UL,UN38.3,FCC",171.125,58.51755527,216.5149545,11.1
